================ Coverage for /Users/shurtj/Development/khoros/ ================
------------------------------ Detailed Coverage -------------------------------
| Name                                                                  |  Status |
|       Khoros.User.get_solutions_authored_count (L2700)                | COVERED |
|       Khoros.User.get_topics_count (L2717)                            | COVERED |
|       Khoros.User.get_replies_count (L2733)                           | COVERED |
|       Khoros.User.get_videos_count (L2749)                            | COVERED |
|       Khoros.User.get_kudos_given_count (L2765)                       | COVERED |
|       Khoros.User.get_kudos_received_count (L2781)                    | COVERED |
|       Khoros.User.get_online_user_count (L2798)                       | COVERED |
|       Khoros.User.get_registration_data (L2806)                       | COVERED |
|       Khoros.User.get_registration_timestamp (L2822)                  | COVERED |
|       Khoros.User.get_registration_status (L2839)                     | COVERED |
|       Khoros.User.get_last_visit_timestamp (L2856)                    | COVERED |
|     Khoros.signout (L2873)                                            | COVERED |
|     Khoros.__del__ (L2880)                                            | COVERED |
|     Khoros.close (L2884)                                              | COVERED |
|-----------------------------------------------------------------------|---------|
| khoros/liql.py (module)                                               | COVERED |
|   format_query (L23)                                                  | COVERED |
|   get_query_url (L91)                                                 | COVERED |
|   perform_query (L116)                                                | COVERED |
|   get_total_count (L167)                                              | COVERED |
|   parse_query_elements (L186)                                         | COVERED |
|   __parse_select_fields (L236)                                        | COVERED |
|   __wrap_string_vales (L251)                                          | COVERED |
|   __convert_where_dicts_to_lists (L264)                               | COVERED |
|   __parse_where_clause (L288)                                         | COVERED |
|   LiQLSyntax (L365)                                                   | COVERED |
|-----------------------------------------------------------------------|---------|
| khoros/errors/__init__.py (module)                                    | COVERED |
|-----------------------------------------------------------------------|---------|
| khoros/errors/exceptions.py (module)                                  | COVERED |
|   KhorosError (L18)                                                   | COVERED |
|   InvalidNodeTypeError (L28)                                          | COVERED |
|     InvalidNodeTypeError.__init__ (L30)                               | COVERED |
|   NodeIDNotFoundError (L41)                                           | COVERED |
|     NodeIDNotFoundError.__init__ (L43)                                | COVERED |
|   NodeTypeNotFoundError (L54)                                         | COVERED |
|     NodeTypeNotFoundError.__init__ (L56)                              | COVERED |
|   InvalidStructureTypeError (L72)                                     | COVERED |
|     InvalidStructureTypeError.__init__ (L77)                          | COVERED |
|   InvalidCallbackURLError (L93)                                       | COVERED |
|     InvalidCallbackURLError.__init__ (L95)                            | COVERED |
|   MissingAuthDataError (L106)                                         | COVERED |
|     MissingAuthDataError.__init__ (L108)                              | COVERED |
|   SessionAuthenticationError (L116)                                   | COVERED |
|     SessionAuthenticationError.__init__ (L118)                        | COVERED |
|   CurrentlyUnsupportedError (L132)                                    | COVERED |
|     CurrentlyUnsupportedError.__init__ (L138)                         | COVERED |
|   DataMismatchError (L149)                                            | COVERED |
|     DataMismatchError.__init__ (L154)                                 | COVERED |
|   InvalidFieldError (L172)                                            | COVERED |
|     InvalidFieldError.__init__ (L177)                                 | COVERED |
|   InvalidURLError (L188)                                              | COVERED |
|     InvalidURLError.__init__ (L193)                                   | COVERED |
|   MissingRequiredDataError (L204)                                     | COVERED |
|     MissingRequiredDataError.__init__ (L209)                          | COVERED |
|   UnknownFileTypeError (L224)                                         | COVERED |
|     UnknownFileTypeError.__init__ (L229)                              | COVERED |
|   APIConnectionError (L245)                                           | COVERED |
|     APIConnectionError.__init__ (L247)                                | COVERED |
|   APIRequestError (L255)                                              | COVERED |
|     APIRequestError.__init__ (L257)                                   | COVERED |
|   DELETERequestError (L265)                                           | COVERED |
|     DELETERequestError.__init__ (L267)                                | COVERED |
|   GETRequestError (L275)                                              | COVERED |
|     GETRequestError.__init__ (L277)                                   | COVERED |
|   InvalidEndpointError (L285)                                         | COVERED |
|     InvalidEndpointError.__init__ (L287)                              | COVERED |
|   InvalidLookupTypeError (L296)                                       | COVERED |
|     InvalidLookupTypeError.__init__ (L298)                            | COVERED |
|   InvalidPayloadValueError (L307)                                     | COVERED |
|     InvalidPayloadValueError.__init__ (L312)                          | COVERED |
|   InvalidRequestTypeError (L327)                                      | COVERED |
|     InvalidRequestTypeError.__init__ (L329)                           | COVERED |
|   LookupMismatchError (L338)                                          | COVERED |
|     LookupMismatchError.__init__ (L340)                               | COVERED |
|   NotFoundResponseError (L348)                                        | COVERED |
|     NotFoundResponseError.__init__ (L350)                             | COVERED |
|   POSTRequestError (L358)                                             | COVERED |
|     POSTRequestError.__init__ (L360)                                  | COVERED |
|   PUTRequestError (L368)                                              | COVERED |
|     PUTRequestError.__init__ (L370)                                   | COVERED |
|   InvalidHelperFileTypeError (L383)                                   | COVERED |
|     InvalidHelperFileTypeError.__init__ (L385)                        | COVERED |
|   InvalidHelperArgumentsError (L393)                                  | COVERED |
|     InvalidHelperArgumentsError.__init__ (L395)                       | COVERED |
|   HelperFunctionNotFoundError (L403)                                  | COVERED |
|     HelperFunctionNotFoundError.__init__ (L405)                       | COVERED |
|   InvalidOperatorError (L418)                                         | COVERED |
|     InvalidOperatorError.__init__ (L420)                              | COVERED |
|   OperatorMismatchError (L428)                                        | COVERED |
|     OperatorMismatchError.__init__ (L430)                             | COVERED |
|   TooManyResultsError (L438)                                          | COVERED |
|     TooManyResultsError.__init__ (L443)                               | COVERED |
|   MessageTypeNotFoundError (L456)                                     | COVERED |
|     MessageTypeNotFoundError.__init__ (L458)                          | COVERED |
|   InvalidRoleError (L477)                                             | COVERED |
|     InvalidRoleError.__init__ (L479)                                  | COVERED |
|   InvalidRoleTypeError (L490)                                         | COVERED |
|     InvalidRoleTypeError.__init__ (L492)                              | COVERED |
|   UserCreationError (L508)                                            | COVERED |
